p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.281537602346972,0.126,0.025,0,1,IL4R
0,2.281266357204405,0.386,0.079,0,1,VAMP8
0,2.2701448960819164,0.294,0.113,0,1,AC020916.1
2.826169775242105e-227,2.26848213847848,0.218,0.101,1.1827520509388209e-222,1,KLF3
0,2.267717533844125,0.348,0.122,0,1,UCP2
0,2.2606318800986296,0.488,0.23,0,1,PPP2R5C
0,2.257134890835496,0.991,0.83,0,1,TMSB4X
0,2.256547939711044,0.147,0.031,0,1,INPP5D
0,2.2493719949753617,0.24,0.087,0,1,SIGIRR
1.643247588291259e-297,2.2385187649458103,0.185,0.063,6.876991156998919e-293,1,TIPARP
0,2.2342411359641656,0.216,0.062,0,1,RILPL2
0,2.231382391039985,0.324,0.154,0,1,PDCD4
0,2.2217492140797805,0.958,0.68,0,1,TPT1
0,2.2155703074757844,0.353,0.114,0,1,IFI16
3.4951521184493864e-260,2.2151680096584254,0.17,0.06,1.4627211615710682e-255,1,GLIPR2
5.443148575765965e-251,2.203747812230918,0.265,0.136,2.2779576789580563e-246,1,CKLF
0,2.194059447524619,0.433,0.148,0,1,ARPC1B
4.6468266862742963e-265,2.1922054120969174,0.247,0.115,1.944696968205793e-260,1,CYLD
0,2.1871926299592372,0.337,0.136,0,1,TMEM123
0,2.1778377381783116,0.557,0.284,0,1,RSRP1
0,2.1606323744375104,0.141,0.033,0,1,RCSD1
0,2.158907078345425,0.41,0.186,0,1,GSTK1
0,2.1519678931244344,0.312,0.132,0,1,PRR13
1.0844257678628055e-235,2.1400460519204625,0.151,0.051,4.5383218385058413e-231,1,USP36
0,2.137183090409833,0.884,0.583,0,1,PFN1
0,2.1353696194294383,0.241,0.09,0,1,PIP4K2A
0,2.1243976235668254,0.294,0.138,0,1,PPP1R18
0,2.1241532408131754,0.317,0.123,0,1,TAPBP
0,2.123015202094624,0.524,0.262,0,1,PSME1
0,2.121728768195264,0.328,0.116,0,1,MSN
6.597203490073819e-276,2.1207549730168713,0.226,0.095,2.760929660595893e-271,1,MGAT4A
0,2.116189785300737,0.909,0.584,0,1,EEF1D
2.2598862950229556e-297,2.0983554603472023,0.241,0.101,9.45762414467107e-293,1,PRMT9
1.1867389816680178e-279,2.094284791065325,0.231,0.098,4.9665026382806546e-275,1,TSC22D4
0,2.082313440138579,0.485,0.263,0,1,ARL4C
0,2.062911435584677,0.385,0.157,0,1,RNF213
6.3654201997349486e-279,2.0547800972819688,0.215,0.085,2.663928353589076e-274,1,AHNAK
0,2.051746557386093,0.48,0.123,0,1,ISG15
5.447263617855731e-278,2.049846519450969,0.17,0.055,2.2796798240726236e-273,1,SERPINB9
8.910840519476085e-253,2.0486113441997813,0.188,0.071,3.729186757400742e-248,1,PDE3B
0,2.0479179208815106,0.524,0.267,0,1,MCL1
0,2.0189235373006333,0.572,0.297,0,1,LIMD2
0,2.0165841964132287,0.41,0.233,0,1,PPP1R2
0,2.0068817751070545,0.473,0.108,0,1,MT2A
0,2.0042429360351273,0.281,0.096,0,1,MYH9
0,2.0002884693371494,0.53,0.303,0,1,KLF6
0,4.226534541111798,0.49,0.033,0,2,LINC02308
0,4.00428371030657,0.334,0.025,0,2,C2CD4B
0,3.424719054992339,0.431,0.041,0,2,AC004540.1
0,3.389847805414129,0.451,0.03,0,2,HOXC9
0,3.3405336385832127,0.258,0.024,0,2,AC115282.1
0,3.3258974944864637,0.126,0.011,0,2,KLF3-AS1
0,3.246803279304339,0.663,0.089,0,2,AL391807.1
0,3.231850121587132,0.16,0.015,0,2,PAX8-AS1
0,3.1645816224185443,0.391,0.036,0,2,KCNG1
0,3.1188328081051004,0.232,0.023,0,2,AC004540.2
0,3.111765392296223,0.651,0.077,0,2,SFRP1
0,3.0452132678668367,0.111,0.011,0,2,LINC01828
0,2.9991554857626657,0.285,0.028,0,2,PPP1R1A
0,2.969961928772955,0.454,0.045,0,2,GPR22
0,2.9565570971362582,0.916,0.191,0,2,SCG2
0,2.947688858350026,0.193,0.014,0,2,DRD2
0,2.890818047020438,0.151,0.014,0,2,CREG2
0,2.881883640114538,0.276,0.026,0,2,ALDOC
0,2.8668878320605495,0.22,0.024,0,2,LINC02762
0,2.853600882854101,0.192,0.017,0,2,TMIE
0,2.777422495160355,0.938,0.228,0,2,DBH
0,2.7553816556781623,0.147,0.021,0,2,AC106881.1
0,2.7526390569484227,0.711,0.097,0,2,NTRK1
0,2.738555288217574,0.921,0.231,0,2,RAMP1
0,2.735021359907654,0.384,0.059,0,2,INSM1
0,2.713453579583663,0.117,0.008,0,2,PTH1R
0,2.7082747478819016,0.575,0.099,0,2,CALY
0,2.7024715449653183,0.16,0.018,0,2,LINC00634
0,2.6678538924933584,0.732,0.137,0,2,HMX1
0,2.6431799168123864,0.377,0.046,0,2,QPCT
0,2.625751761413648,0.736,0.131,0,2,FAIM2
0,2.61547466587267,0.288,0.026,0,2,PIRT
0,2.5935671914130696,0.218,0.028,0,2,AL450405.1
0,2.5831906927822725,0.13,0.017,0,2,SERPINA5
0,2.516185041224311,0.168,0.021,0,2,REEP6
0,2.5147531636955116,0.5,0.079,0,2,PGAM2
0,2.471216095939739,0.15,0.021,0,2,AC097382.3
0,2.467424016223516,0.6,0.098,0,2,HAND1
0,2.459180468447131,0.138,0.015,0,2,PACSIN3
0,2.4498830031117125,0.183,0.031,0,2,SAP30-DT
0,2.4312823518285507,0.384,0.062,0,2,HRK
0,2.4307159156633893,0.154,0.024,0,2,AC006453.3
0,2.426211585066344,0.309,0.053,0,2,TUBB3
0,2.4181263710394463,0.167,0.02,0,2,MUC12
0,2.413461018332715,0.259,0.044,0,2,FAM89A
0,2.4116745451268207,0.135,0.02,0,2,UBE2Q2P1
0,2.4068410536611076,0.15,0.015,0,2,AMIGO2
0,2.3990271703979626,0.656,0.109,0,2,SERPINE2
0,2.3956457497787698,0.163,0.017,0,2,WNT4
0,2.3806580318236374,0.191,0.021,0,2,AC022075.1
0,2.373306546252867,0.852,0.187,0,2,PMP22
0,2.3732737690762766,0.706,0.12,0,2,DDC
0,2.3677385966685285,0.208,0.037,0,2,AC002316.1
0,2.3649580714940512,0.536,0.112,0,2,CDKN1C
0,2.3476294026539852,0.115,0.014,0,2,FBXO2
0,2.3345803199583948,0.213,0.031,0,2,TRIL
0,2.330420626663355,0.821,0.242,0,2,PRPH
0,2.328747290138681,0.529,0.091,0,2,SHC1
0,2.320350588760355,0.752,0.157,0,2,CLU
0,2.3050667509352296,0.465,0.072,0,2,BOK
0,2.280439571830671,0.73,0.132,0,2,CHRNA3
0,2.2715264810671494,0.515,0.091,0,2,GFRA3
0,2.2699079249240723,0.462,0.071,0,2,CPNE2
0,2.2626326850909146,0.351,0.048,0,2,TG
0,2.24976372837852,0.128,0.022,0,2,PARTICL
0,2.2493181382148455,0.452,0.082,0,2,ARHGDIG
0,2.2409728604359493,0.447,0.048,0,2,RAMP3
0,2.240836108107014,0.547,0.104,0,2,FKBP1B
0,2.213082595593483,0.133,0.019,0,2,LINC02802
0,2.207214659892263,0.138,0.017,0,2,EPS8L1
0,2.2045740046250937,0.252,0.041,0,2,BX284668.5
0,2.20267154445685,0.865,0.224,0,2,ANXA2
0,2.1924522500516264,0.403,0.081,0,2,MAGI2-AS3
0,2.187605503264302,0.63,0.127,0,2,PRKAG2-AS1
0,2.1817674375186544,0.118,0.015,0,2,MSANTD1
0,2.1694296498266903,0.881,0.209,0,2,TH
0,2.169160684922987,0.177,0.031,0,2,FAM163B
0,2.1669927953770047,0.213,0.025,0,2,FAM162B
